ADD	thêm
assemble	tập hợp
assert	xác nhận
assess	đánh giá
assess	đánh giá
assessment	thẩm định, lượng định, đánh giá
asset	tài sản
assign	chỉ định
assign	chỉ định
assist	hỗ trợ
assist	hỗ trợ
assistance	hỗ trợ
assistant	phụ tá
assistant	phụ tá
associate	liên kết
associate	liên kết
association	hiệp hội
assume	giả định
assume	đảm đương
assumption	giả thiết
assure	cam đoan
assure	cam đoan
at	tại
athlete	lực sĩ
atmosphere	không khí
attach	đính kèm
attach	đính kèm
attack	tấn công
attack	tấn công
attack	tấn công
attain	đạt
attempt	cố gắng
attempt	cố gắng
attempt	thử
attend	tham gia
attend	đi học
attention	chú ý
attitude	Thái độ
attorney	luật sư
attract	thu hút
attract	thu hút
attractive	hấp dẫn
attribute	đặc tính
audience	thính giả
author	tác giả
authority	thẩm quyền
automatic	tự động
available	có sẵn
available	có sẵn
average	Trung bình cộng
average	Trung bình cộng
avoid	tránh
avoid	tránh
await	chờ
award	giải thưởng
award	phần thưởng
aware	ý thức
aware	nhận thức
awareness	nhận thức
away	xa
away	xa
away	đi
baby	đứa bé
back	trở lại
back	trở lại
back	trở lại
back	trở lại
background	lý lịch
background	nền
bad	xấu
bag	túi
bake	bake
balance	cân đối
balance	cân đối
ball	trái bóng
band	ban nhạc
bang	tiếng nổ
bank	ngân hàng
bar	quán ba
barely	vừa đủ
barrier	rào chắn
base	căn cứ
base	căn cứ
baseball	bóng chày
basic	căn bản
basic	cơ bản
basically	về cơ bản
basis	nền tảng
basketball	bóng rổ
bathroom	phòng tắm
battle	chiến đấu
be	được
beach	bờ biển
bean	hạt đậu
bear	chịu
bear	chịu
bear	chịu
beat	tiết tấu
beat	tiết tấu
beat	đánh đập
beautiful	đẹp
beautiful	đẹp
beauty	sắc đẹp, vẻ đẹp
because	bởi vì
because	bởi vì
become	trở nên
become	trở thành
bed	Giường
bedroom	phòng ngủ
beer	bia
before	trước
before	trước
before	trước
beg	ăn mày
begin	bắt đầu
beginning	bắt đầu
beginning	bắt đầu
behave	hành xử
behavior	hành vi
behind	phía sau
behind	phía sau
being	đang
belief	niềm tin
believe	tin
believe	tin
bell	chuông
belong	thuộc về
belong	thuộc về
below	phía dưới
below	phía dưới
belt	thắt lưng
bench	Băng ghế
bend	bẻ cong
beneath	ở trên
benefit	lợi ích
benefit	lợi ích
benefit	lợi ích
beside	bên cạnh
best	tốt
best	tốt
best	tốt nhất
bet	cá cược
bet	đánh cuộc
better	tốt hơn
better	tốt hơn
better	tốt hơn
between	giữa
beyond	vượt ra ngoài
bid	thầu
big	lớn
big	lớn
bike	xe đạp
bill	hóa đơn
billion	tỷ
bind	trói buộc
bind	buộc
biological	sinh học
bird	chim
birth	Sinh
birthday	sinh nhật
bit	bit
bit	bit
bite	cắn
bitter	cay đắng
black	đen
black	đen
blame	khiển trách
blame	khiển trách
blind	mù quáng
block	khối
block	khối
block	khối
blood	máu
blow	thổi
blow	thổi
blue	màu xanh da trời
board	bảng
boast	khoe khoan
boat	thuyền
body	thân hình
body	cơ thể
boil	nhọt
bomb	bom
bond	liên kết
bone	khúc xương
book	sách
boost	tăng
boot	khởi động
border	biên giới
born	sinh ra
born	Ngày Sinh:
borrow	vay
boss	trùm
both	cả hai
both	cả hai
both	cả hai
bother	làm phiền
bother	làm phiền
bottle	chai
bottom	đáy
bottom	đáy
bounce	tung lên
bound	giới hạn
boundary	ranh giới
bow	cây cung
bowl	bát
box	cái hộp
boy	con trai
brain	óc
branch	chi nhánh
brand	nhãn hiệu
brave	dũng cảm
bread	bánh mỳ
break	phá vỡ
break	phá vỡ
break	nghỉ
breakfast	bữa ăn sáng
breast	nhũ hoa
breath	hơi thở
breathe	thở
breathe	thở
breed	giống
bridge	cầu
brief	ngắn gọn
brief	ngắn gọn
bright	sáng
bright	sáng
brilliant	rực rỡ
bring	mang đến
bring	đem lại
broad	rộng lớn
broad	rộng
broken	bị hỏng
brother	em trai
brother	anh em trai
brown	nâu
brown	nâu
brush	bàn chải
buck	buck
budget	ngân sách
budget	ngân sách
build	xây dựng
build	xây dựng
building	Tòa nhà
bullet	đạn
bunch	bó
burden	gánh nặng
burn	đốt cháy
burn	đốt cháy
burst	nổ
bury	chôn
bury	chôn
bus	xe buýt
business	kinh doanh
business	kinh doanh
busy	bận
busy	bận rộn
but	nhưng
but	nhưng
butter	bơ
button	nút
buy	mua
buy	mua
by	bởi
by	bởi
cabinet	buồng
cable	cáp
cake	bánh ngọt
calculate	tính toán
call	gọi
call	gọi
calm	bình tĩnh
calm	yên lặng
camera	Máy ảnh
camp	trại
campaign	chiến dịch
campaign	chiến dịch
campus	khuôn viên
can	có thể
cancel	hủy bỏ
cancer	ung thư
candidate	ứng viên
cap	mũ lưỡi trai
capable	có khả năng
capable	có khả năng
capacity	sức chứa
capital	thủ đô
capital	vốn
capture	nắm bắt
capture	bắt
car	xe hơi
car	xe
card	Thẻ
care	quan tâm
care	quan tâm
care	chăm sóc
career	nghề nghiệp
careful	cẩn thận
careful	cẩn thận
carefully	cẩn thận
carry	mang
carry	mang
carve	khắc
case	trường hợp
cash	tiền mặt
cast	dàn diễn viên
cast	đúc
cat	con mèo
catch	bắt lấy
catch	catch
category	thể loại
cater	cung cấp
cause	nguyên nhân
cause	nguyên nhân
cause	nguyên nhân
cease	ngừng
ceiling	Trần nhà
celebrate	ăn mừng
celebrate	tán dương
cell	tế bào
center	Trung tâm
central	Trung tâm
century	thế kỷ
ceremony	Lễ
certain	chắc chắn
certain	nhất định
certainly	chắc chắn
chain	chuỗi
chair	cái ghế
chairman	Chủ tịch
challenge	thử thách
challenge	thử thách
challenge	thách
chamber	buồng
champion	quán quân
championship	chức vô địch
chance	cơ hội
chance	cơ hội
change	thay đổi
change	thay đổi
change	thay đổi
channel	kênh
character	tính cách
character	nhân vật
characterise	đặc trưng
characteristic	đặc trưng
characterize	đặc trưng
characterize	đặc trưng
charge	sạc điện
charge	sạc điện
charge	phí
chart	đồ thị
chat	trò chuyện
cheap	giá rẻ
cheap	giá rẻ
check	kiểm tra
check	kiểm tra
check	kiểm tra
cheek	má
cheer	vui lên
cheese	phô mai
chemical	hóa chất
chemical	hóa chất
chemical	hóa học
chest	ngực
chicken	gà
chicken	gà
chief	giám đốc
chief	giám đốc
child	đứa trẻ
childhood	thời thơ ấu
chip	Chip
chocolate	sô cô la
choice	lựa chọn
choice	lựa chọn
choose	chọn
choose	chọn
church	nhà thờ
cigarette	thuốc lá
circle	vòng tròn
circulate	lưu hành
circumstance	tình huống
cite	trích dẫn
cite	dẫn chứng
citizen	công dân
city	thành phố
civil	dân sự
civil	dân sự
claim	yêu cầu
claim	yêu cầu
claim	yêu cầu
clarify	lọc
class	lớp học
classic	cổ điển
classic	cổ điển
classify	phân loại
classroom	phòng học
clean	dọn dẹp
clean	dọn dẹp
clean	sạch
clean	sạch
clear	trong sáng
clear	trong sáng
clear	rõ ràng
clear	trong sáng
clearly	thông suốt
client	khách hàng
climate	khí hậu
climb	leo
climb	leo
cling	bám vào
clinic	phòng khám bệnh
clinical	lâm sàng
clock	đồng hồ
close	gần
close	gần
close	gần
close	gần
close	gần
closely	chặt chẽ
clothes	quần áo
clothing	quần áo
cloud	đám mây
club	câu lạc bộ
clutch	chân
coach	huấn luyện viên
coach	huấn luyện viên
coalition	liên minh
coast	bờ biển
coat	áo khoác
code	mã
coffee	cà phê
coincide	phù hợp
cold	lạnh
cold	lạnh
collapse	sập
colleague	đồng nghiệp
collect	sưu tầm
collect	sưu tầm
collection	bộ sưu tập
college	trường đại học
color	màu
colour	màu
column	cột
combination	sự phối hợp
combine	phối hợp
combine	phối hợp
come	đến
come	đến
comfortable	Thoải mái
comfortable	thoải mái
command	chỉ huy
command	chỉ huy
commander	chỉ huy
commence	bắt đầu
comment	bình luận
comment	bình luận
comment	chú thích
commercial	thương mại
commercial	thương mại
commission	Uỷ ban
commission	hoa hồng
commit	cam kết
commit	phạm
commitment	cam kết
committee	ủy ban
common	chung
common	phổ biến
communicate	giao tiếp
communicate	giao tiếp
communication	giao tiếp
community	cộng đồng
company	Công ty
compare	so sánh
compare	so sánh
comparison	so sánh
compel	bắt buộc
compensate	bù lại
compete	cạnh tranh
compete	cạnh tranh
competition	cuộc thi
competitive	cạnh tranh
competitive	cạnh tranh
compile	biên soạn
complain	than phiền
complain	phàn nàn
complaint	lời phàn nàn
complete	hoàn thành
complete	hoàn thành
complete	hoàn thành
complete	hoàn toàn
completely	hoàn toàn
complex	phức tạp
complex	phức tạp
complicated	phức tạp
comply	tuân theo
component	thành phần
compose	sáng tác
comprehensive	toàn diện
comprehensive	toàn diện
comprise	gồm có
computer	máy vi tính
conceal	giấu
concede	công nhận
conceive	nhận thức
concentrate	tập trung
concentrate	tập trung
concentration	sự tập trung
concept	khái niệm
concern	mối quan ngại
concern	lo lắng
concerned	liên quan
concert	buổi hòa nhạc
conclude	kết luận
conclude	kết luận
conclusion	phần kết luận
condemn	lên án
condition	điều kiện
conduct	hạnh kiểm
conduct	hạnh kiểm
confer	trao
conference	hội nghị
confess	thú nhận
confidence	sự tự tin
confident	tự tin
confident	tự tin
confine	nhốt
confirm	xác nhận
confirm	xác nhận
conflict	cuộc xung đột
conform	phù hợp
confront	đối đầu
confront	đối chất
confuse	xáo trộn
congressional	quốc hội
connect	kết nối
connect	kết nối
connect	liên kết
connection	kết nối
conscious	có ý thức
consequence	hậu quả
conservative	thận trọng
conservative	thận trọng
consider	xem xét
consider	xem xét
considerable	đáng kể
consideration	xem xét
consist	bao gồm
consist	gồm có
consistent	thích hợp
consistent	phù hợp
constant	không thay đổi
constant	liên tục
constantly	liên tục
constitute	cấu tạo
constitute	cấu tạo
constitutional	hiến pháp
construct	xây dựng
construct	xây dựng
construction	xây dựng
consult	tư vấn
consultant	tư vấn
consume	tiêu thụ
consumer	khách hàng
contact	tiếp xúc
contact	tiếp xúc
contact	tiếp xúc
contain	chứa
contain	chứa
contemplate	ngắm
contemporary	đồng thời
content	Nội dung
content	nội dung
context	bối cảnh
continue	tiếp tục
continue	tiếp tục
contract	hợp đồng
contract	hợp đồng
contrast	tương phản
contrast	tương phản
contribute	Góp phần
contribute	góp phần
contribution	sự đóng góp
control	điều khiển
control	điều khiển
control	kiểm soát
controversy	tranh cãi
convention	quy ước
conventional	thông thường
conversation	cuộc hội thoại
convert	đổi
convert	đổi
convey	chuyên chở
convict	người bị kết án
convince	thuyết phục
convince	thuyết phục
cook	nấu ăn
cool	mát mẻ
cool	mát mẻ
cool	mát mẻ
cooperation	hợp tác
cop	cảnh sát
cope	đương đầu
copy	sao chép
copy	bản sao
core	cốt lõi
corn	Ngô
corner	góc
corner	góc
corporate	công ty
corporation	tập đoàn
correct	chính xác
correct	chính xác
correct	đúng
correspond	tương ứng
cost	Giá cả
cost	Giá cả
cost	giá cả
could	có thể
count	đếm
count	đếm
count	đếm
counter	quầy tính tiền
counter	phản đối
country	Quốc gia
county	quận
couple	vợ chồng
couple	cặp vợ chồng
course	khóa học
course	khóa học
court	tòa án
cousin	anh chị em họ
cover	che
cover	che
cover	che
coverage	phủ sóng
crack	vết nứt
craft	nghề thủ công
crash	tai nạn
crash	tai nạn
crawl	bò
crazy	khùng
crazy	điên
cream	kem
create	tạo nên
create	sáng tạo
creation	sự sáng tạo
creative	sáng tạo
creative	sáng tạo
creature	sinh vật
credit	tín dụng
creep	leo
crew	phi hành đoàn
crime	tội ác
criminal	phạm tội
crisis	khủng hoảng
criteria	tiêu chuẩn
critic	nhà phê bình
critical	chỉ trích
critical	quan trọng
criticise	chỉ trích
criticism	sự chỉ trích
criticize	chỉ trích
criticize	chỉ trích
crop	mùa vụ
cross	vượt qua
crowd	đám đông
crucial	quan trọng
crush	nghiền nát
cry	khóc
cry	khóc
cultural	văn hoá
cultural	văn hóa
culture	nền văn hóa
cup	tách
curious	tò mò
current	hiện hành
current	hiện tại
currently	hiện tại
curriculum	chương trình giáo dục
customer	khách hàng
cut	cắt tỉa
cut	cắt tỉa
cut	cắt
cute	dễ thương
cycle	chu kỳ
dad	cha
daily	hằng ngày
damage	hư hại
damage	tổn thất
dance	nhảy
dance	nhảy
dance	nhảy
danger	nguy hiểm
dangerous	nguy hiểm
dangerous	nguy hiểm
dare	dám
dark	tối
dark	tối
dark	tối
darkness	bóng tối
data	dữ liệu
date	ngày
date	ngày
date	ngày
daughter	Con gái
daughter	con gái
day	ngày
day	ngày
dead	đã chết
dead	chết
deal	thỏa thuận
deal	thỏa thuận
deal	nhiều
dealer	người buôn bán
dear	thân yêu
death	tử vong
debate	tranh luận
debate	tranh luận
debt	món nợ
decade	thập kỷ
decent	phong nha
decide	quyết định
decide	quyết định
decision	phán quyết
deck	boong
declare	khai
declare	khai
decline	từ chối
decline	từ chối
decline	từ chối
decorate	trang trí
decrease	giảm bớt
dedicate	dâng
deem	tưởng là
deep	sâu
deep	sâu
deep	sâu
deeply	sâu sắc
deer	con nai
defeat	sự thất bại
defend	phòng thủ
defend	bảo vệ
defense	phòng thủ
defensive	phòng ngự
deficit	thâm hụt
define	định nghĩa
define	định nghĩa
definitely	chắc chắn
definition	Định nghĩa
degree	trình độ
delay	chậm trễ
deliver	giao hàng
deliver	giao hàng
delivery	chuyển
demand	nhu cầu
demand	nhu cầu
demand	nhu cầu
democracy	dân chủ
democratic	dân chủ
demonstrate	chứng minh
demonstrate	chứng minh
deny	phủ nhận
deny	từ chối
depart	khởi hành
department	bộ phận
depend	tùy theo
depend	tùy theo
dependent	phụ thuộc
depict	miêu tả
deposit	tiền cọc
depression	Phiền muộn
deprive	tước đoạt
depth	chiều sâu
deputy	Phó
derive	lấy được
descend	xuống
describe	miêu tả
describe	miêu tả
description	sự miêu tả
desert	Sa mạc
deserve	xứng đáng
deserve	xứng đáng
design	thiết kế
design	thiết kế
design	thiết kế
designer	nhà thiết kế
designer	nhà thiết kế
desire	khao khát
desire	khao khát
desk	bàn
desperate	tuyệt vọng
despite	mặc dù
destroy	hủy hoại
destroy	phá hủy
destruction	sự phá hủy
detail	chi tiết
detect	phát hiện
detect	tìm ra
determine	mục đích
determine	xác định
develop	phát triển, xây dựng
develop	phát triển
developing	phát triển
development	phát triển
device	thiết bị
devise	phát minh
devote	cống hiến
dialogue	đối thoại
dictate	bắt buộc
die	chết
die	chết
diet	chế độ ăn
differ	khác nhau
difference	Sự khác biệt
different	khác nhau
different	khác nhau
differentiate	phân biệt
difficult	khó khăn
difficult	khó khăn
difficulty	khó khăn
dig	đào
dig	đào
digital	kỹ thuật số
dimension	kích thước
diminish	bớt
dinner	bữa tối
dip	nhúng
direct	thẳng thắn
direct	thẳng thắn
direct	trực tiếp
direct	trực tiếp
direction	phương hướng
directly	trực tiếp
director	giám đốc
dirt	bẩn
dirty	dơ bẩn
dirty	bẩn
disability	khuyết tật
disagree	không đồng ý
disagree	không đồng ý
disappear	biến mất
disappear	biến mất
disaster	thảm họa
discharge	phóng điện
discipline	kỷ luật
disclose	tiết lộ
discover	khám phá
discover	khám phá
discovery	khám phá
discuss	bàn luận
discuss	bàn luận
discussion	thảo luận
disease	dịch bệnh
dish	món ăn
dislike	không thích
dismiss	bỏ qua
dismiss	bỏ qua
disorder	rối loạn
display	trưng bày
display	trưng bày
display	trưng bày
dispose	bố trí
dispute	tranh chấp
dissolve	hòa tan
distance	khoảng cách
distant	xa xôi
distinct	biệt
distinguish	phân biệt
distribute	phân phát
distribution	phân phối
district	huyện
disturb	làm phiền
diverse	phong phú
diversity	sự đa dạng
divert	làm chuyển hướng
divide	chia
divide	chia
division	phân chia
do	làm
doctor	Bác sĩ
document	tài liệu
dog	chó
domestic	trong nước
dominate	thống trị
dominate	thống trị
door	cửa
double	gấp đôi
double	gấp đôi
double	đôi
double	đôi
doubt	nghi ngờ
doubt	nghi ngờ
down	xuống
down	xuống
downtown	trung tâm thành phố
dozen	tá
draft	bản nháp
draft	bản thảo
drag	kéo
drag	kéo
drain	cống
drama	kịch
dramatic	kịch tính
dramatic	ấn tượng
draw	vẽ tranh
draw	rút ra
drawing	vẽ
dream	mơ tưởng
dream	mơ tưởng
dream	giấc mơ
dress	trang phục
dress	trang phục
dress	váy
dress	trang phục
drift	trôi giạt
drink	uống
drink	uống
drink	uống
drive	lái xe
drive	lái xe
drive	lái xe
driver	người lái xe
drop	rơi vãi
drop	rơi vãi
drop	bỏ
drown	chết chìm
drug	thuốc uống
drunk	say rượu
dry	khô
dry	khô
dry	khô
due	đến hạn
due	đến hạn
due	do
dump	bãi
during	suốt trong
dust	bụi bặm
duty	nhiệm vụ
e-mail	e-mail
each	mỗi
each	mỗi
each	mỗi
ear	tai
early	sớm
early	sớm
earn	kiếm
earn	kiếm được
earth	trái đất
ease	làm dịu bớt
easily	dễ dàng
east	Đông
east	đông
eastern	phương Đông
eastern	đông
easy	dễ dàng
easy	dễ dàng
easy	dễ dàng
eat	ăn
eat	ăn
economic	thuộc kinh tế
economy	nên kinh tê
economy	nền kinh tế
edge	cạnh
edit	chỉnh sửa
editor	người biên tập
educate	giáo dục
education	giáo dục
educational	giáo dục
educational	giáo dục
educator	nhà giáo dục
effect	hiệu ứng
effect	hiệu ứng
effective	có hiệu lực
effective	hiệu quả
effectively	có hiệu quả
efficient	hiệu quả
effort	cố gắng
egg	trứng
eight	tám
either	hoặc
either	hoặc
either	hoặc
elderly	người lớn tuổi
elect	trúng tuyển
elect	đắc cử
election	cuộc bầu cử
electric	điện
electrical	điện
electricity	điện
electronic	điện tử
electronic	điện tử
element	thành phần
elementary	tiểu học
eliminate	loại bỏ
eliminate	bỏ
elite	ưu tú
else	khác
elsewhere	ở nơi khác
embark	tham gia
embarrassed	xấu hổ
embody	hiện thân
embrace	ôm hôn
embrace	ôm hôn
emerge	hiện ra
emerge	hiện ra
emergency	trường hợp khẩn cấp
emergency	trường hợp khẩn cấp
emission	khí thải
emotion	cảm xúc
emotional	đa cảm
emotional	cảm xúc
emphasis	nhấn mạnh
emphasise	nhấn mạnh
emphasize	nhấn mạnh
emphasize	nhấn mạnh
employ	thuê
employ	sử dụng
employee	Nhân viên
employer	nhà tuyển dụng
employment	việc làm
empty	trống
empty	rỗng
enable	cho phép
enable	cho phép
enclose	rào
encounter	gặp gỡ
encounter	gặp gỡ
encourage	khuyến khích
encourage	khuyến khích
end	kết thúc
end	kết thúc
end	đầu
endorse	thừa nhận
enemy	kẻ thù
energy	năng lượng
enforce	thi hành
enforcement	thực thi
engage	thuê
engage	thuê
engine	động cơ
engineer	kỹ sư
engineering	kỹ thuật
enhance	nâng cao
enhance	nâng cao
enjoy	thưởng thức
enjoy	thưởng thức
enormous	to lớn
enough	đủ
enough	đủ
enough	đủ
enquire	hỏi thăm
ensure	đảm bảo
ensure	chắc chắn
entail	kéo theo
enter	đi vào
enter	vào
enterprise	doanh nghiệp
entertain	giải trí
entertainment	sự giải trí
entire	toàn bộ
entire	toàn bộ
entirely	hoàn toàn
entitle	cho phép
entrance	cổng vào
entry	nhập cảnh
environment	môi trường
environmental	môi trường
environmental	môi trường
envisage	dự tính
episode	tập phim
equal	công bằng
equal	bằng
equally	bằng nhau
equip	trang bị
equipment	Trang thiết bị
equivalent	tương đương
era	kỷ nguyên
erect	dựng lên
error	lỗi
escape	thoát khỏi
escape	trốn thoát
especially	đặc biệt
essay	tiểu luận
essential	Cần thiết
essentially	bản chất
establish	thành lập
establish	thiết lập
establishment	thành lập
estate	bất động sản
estimate	ước tính
estimate	ước tính
estimate	ước tính
ethnic	dân tộc
evaluate	đánh giá
evaluate	định
evaluation	đánh giá
even	cũng
even	cũng
even	thậm chí
evening	tối
evening	buổi tối
event	biến cố
eventually	cuối cùng
ever	không bao giờ
every	mỗi
every	mỗi
everybody	mọi người
everyone	tất cả mọi người
everything	mọi điều
everywhere	mọi nơi
evidence	chứng cớ
evolve	phát triển
evolve	phát triển
exact	chính xác
exactly	chính xác
examine	xem xét
examine	xem xét
example	thí dụ
exceed	quá
excellent	Xuất sắc
excellent	tuyệt vời
except	ngoại trừ
except	ngoại trừ
exception	ngoại lệ
exchange	trao đổi, giao dịch
exchange	trao đổi
exciting	thú vị
exclude	loại trừ
excuse	cớ
execute	thi hành
executive	điều hành
exercise	tập thể dục
exercise	tập thể dục
exercise	tập thể dục
exert	gắng sức
exhaust	thoát ra
exhibit	tang vật
exhibition	triển lãm
exist	hiện hữu
exist	tồn tại
existence	sự tồn tại
existing	hiện tại
existing	hiện
expand	mở rộng
expand	phát triển
expansion	sự bành trướng
expect	chờ đợi
expect	chờ đợi
expectation	sự mong đợi
expense	chi phí
expensive	đắt
expensive	đắt
experience	kinh nghiệm
experience	kinh nghiệm
experience	kinh nghiệm
experiment	thí nghiệm
expert	chuyên gia
expert	chuyên gia
explain	giải thích
explain	giải thích
explanation	giải trình
explod e	phát nổ
exploit	khai thác
explore	khám phá
explore	khám phá
export	xuất khẩu
expose	lộ ra
expose	lộ ra
exposure	Phơi bày
express	bày tỏ
express	thể hiện
express	phát biểu
expression	biểu hiện
extend	mở rộng
extend	mở rộng
extension	mở rộng
extensive	sâu rộng
extent	phạm vi
external	bên ngoài
external	bên ngoài
extra	thêm
extra	thêm
extract	lấy
extraordinary	bất thường
extreme	cực
extreme	cực
extremely	vô cùng
eye	mắt
face	đối mặt
face	đối mặt
face	mặt
facilitate	thuận tiện
facility	cơ sở
fact	thực tế
factor	hệ số
factory	nhà máy
faculty	giảng viên
fade	phai màu
fade	phai
fail	Thất bại
fail	thất bại
failure	thất bại
fair	hội chợ
fair	công bằng
fairly	công bằng
faith	đức tin
fall	ngã
fall	ngã
familiar	quen
familiar	quen thuộc
family	gia đình
famous	nổi danh
famous	nổi tiếng
fan	quạt
fancy	tưởng tượng
far	xa
far	xa
far	xa
far	đến nay
farm	nông trại
farmer	nông phu
fashion	thời trang
fast	Nhanh
fast	Nhanh
fast	nhanh chóng
fat	mập
fat	mập
fat	chất béo
fate	số phận
father	cha
fault	lỗi
favor	ủng hộ
favorite	yêu thích
favorite	yêu thích
favour	ủng hộ
fear	nỗi sợ
fear	nỗi sợ
fear	sợ
feature	đặc tính
feature	đặc tính
feature	đặc tính
federal	liên bang
federal	liên bang
fee	chi phí
feed	nuôi
feed	nuôi
feel	cảm thấy
feel	cảm
feeling	cảm giác
feeling	cảm giác
fellow	đồng bào
female	giống cái
female	giống cái
female	nữ
fence	hàng rào
fetch	lấy
few	vài
few	số
fewer	ít hơn
fiber	chất xơ
fiction	viễn tưởng
field	cánh đồng
fifth	thứ năm
fight	chiến đấu
fight	chiến đấu
fight	cuộc chiến đấu
figure	nhân vật
figure	nhân vật
figure	nhân vật
file	tập tin
file	tập tin
file	hồ sơ
fill	lấp đầy
fill	lấp đầy
film	phim ảnh
final	sau cùng
final	thức
finally	cuối cùng
finance	tài chính
finance	tài chánh
financial	tài chính
financial	tài chính
find	tìm thấy
find	tìm thấy
finding	Phát hiện
fine	khỏe
fine	tốt
fine	tốt
finger	ngón tay
finish	hoàn thành
finish	hoàn thành
fire	ngọn lửa
fire	ngọn lửa
fire	cháy
firm	chắc chắn
firm	công ty
first	Đầu tiên
first	Đầu tiên
first	đầu tiên
fish	cá
fishing	đánh bắt cá
fit	Phù hợp
fit	phù hợp với
fit	phù hợp
five	số năm
fix	sửa chữa
fix	sửa chữa
flag	cờ
flash	đèn flash
flat	bằng phẳng
flat	phẳng
flee	trốn
flight	chuyến bay
fling	quăng ra
float	phao
flood	lũ
floor	sàn nhà
flow	lưu lượng
flow	lưu lượng
flow	chảy ra
flower	hoa
fly	bay
fly	bay
focus	tiêu điểm
focus	tiêu điểm
focus	tiêu điểm
fold	gập lại
folk	dân gian
follow	theo
follow	theo
following	tiếp theo
food	món ăn
foot	chân
football	bóng đá
for	cho
for	cho
forbid	cấm
force	lực lượng
force	lực lượng
force	lực lượng
foreign	ngoại quốc
foreign	nước ngoài
forest	rừng
forever	mãi mãi
forget	quên
forget	quên
forgive	tha thứ
form	hình thức
form	hình thức
form	hình thức
formal	chính thức
formal	chính thức
former	trước đây
former	cựu
formulate	Xây dựng
forth	ra
fortune	vận may
forward	phía trước
forward	về phía trước
found	tìm
found	tìm thấy
foundation	nền tảng
founder	người sáng lập
four	bốn
fourth	thứ tư
frame	khung
free	miễn phí
free	miễn phí
free	miễn phí
free	tự do
freedom	sự tự do
freeze	Đông cứng
freeze	đông lại
frequent	thường xuyên
frequently	thường xuyên
fresh	tươi
fresh	tươi
friend	người bạn
friendly	thân thiện
friendly	thân thiện
frighten	hoảng sợ
from	từ
front	trước mặt
front	trước mặt
front	trước mặt
front	trước
frown	cau mày
fruit	trái cây
fuel	nhiên liệu
fulfil	thực hiện
full	đầy
full	đầy đủ
fully	đầy đủ
fun	vui vẻ
fun	vui vẻ
fun	vui vẻ
function	chức năng
function	hàm số
fund	quỹ
fund	quỹ
fundamental	căn bản
funding	kinh phí
funeral	tang lễ
funny	buồn cười
funny	vui
furniture	đồ nội thất
future	Tương lai
future	Tương lai
future	trong tương lai
gain	thu được
gain	thu được
gain	lợi
game	trò chơi
game	trò chơi
gang	băng nhóm
gap	lỗ hổng
garden	vườn
gas	khí đốt
gasp	giựt mình
gate	cánh cổng
gather	tụ họp
gather	tụ họp
gay	gay
gaze	cái nhìn đăm đăm
gear	Hộp số
gender	giới tính
gene	gen
general	chung
general	chung
general	chung
general	chung
generally	nói chung là
generate	tạo ra
generate	phát ra
generation	thế hệ
genetic	di truyền
gentleman	quý ông
gently	dịu dàng
get	được
get	được
giant	khổng lồ
gift	quà tặng
girl	con gái
give	đưa cho
give	cho
glad	vui vẻ
glad	vui
glance	nháy mắt
glance	nhìn thoáng qua
glass	ly
glass	kính
global	toàn cầu
global	toàn cầu
go	đi
go	đi
goal	mục tiêu
going	đi
gold	vàng
gold	vàng
golden	vàng
golf	golf
good	tốt
good	tốt
good (PL)	tốt (PL)
govern	quản lý
government	chính quyền
governor	thống đốc
grab	vồ lấy
grab	chụp lấy
grade	cấp
graduate	tốt nghiệp
graduate	tốt nghiệp
grand	lớn
grand	lớn
grandmother	bà ngoại
grant	ban cho
grasp	sự hiểu biết
grass	cỏ
gray	màu xám
great	tuyệt quá
great	tuyệt vời
greatest	vĩ đại nhất
green	màu xanh lá
green	màu xanh lá
green	màu xanh lá cây
greet	chào
grin	cười toét miệng
grip	va li
gross	tổng
ground	đất
group	nhóm
grow	lớn lên
grow	lớn lên
growing	phát triển
growth	sự phát triển
guarantee	Bảo hành
guarantee	bảo hành
guard	bảo vệ
guard	bảo vệ
guess	phỏng đoán
guess	phỏng đoán
guest	khách
guide	hướng dẫn
guide	hướng dẫn
guilty	tội lỗi
guilty	tội
gun	súng
guy	chàng
habit	thói quen
hair	tóc
half	một nửa
half	một nửa
hall	đại sảnh
halt	tạm dừng lại
hand	tay
hand	tay
hand	tay
handle	xử lý
handle	xử lý
hang	treo
hang	treo
happen	xảy ra
happen	xảy ra
happy	vui mừng
happy	hạnh phúc
hard	cứng
hard	cứng
hard	cứng
hardly	khó khăn
hat	nón
hate	ghét bỏ
hate	ghét
have	có
have	có
he	anh ta
head	cái đầu
head	cái đầu
head	đầu
head	đầu
headquarters	trụ sở chính
health	Sức khỏe
healthy	khỏe mạnh
healthy	khỏe mạnh
hear	Nghe
hear	nghe
hearing	thính giác
heart	tim
heat	nhiệt
heat	nhiệt
heaven	thiên đường
heavily	nặng nề
heavy	nặng
heavy	nặng
height	Chiều cao
hell	Địa ngục
hello	xin chào
help	Cứu giúp
help	Cứu giúp
help	giúp
helpful	hữu ích
her	cô ấy
her	cô ấy
here	đây
hero	anh hùng
herself	cô ấy
hesitate	do dự
hey	Chào
hi	Chào
hide	ẩn giấu
hide	giấu
high	cao
high	cao
highlight	Điểm nổi bật
highly	cao
highway	Xa lộ
hill	đồi núi
him	anh ta
himself	bản thân anh ấy
